Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;TaxaAnual
2024;0,57%;0,81%;0,19%;0,37%;0,46%;0,25%;0,26%;--;--;--;--;--;2,95%
2023;0,46%;0,77%;0,64%;0,53%;0,36%;-0,10%;-0,09%;0,20%;0,11%;0,12%;0,10%;0,55%;3,71%
2022;0,67%;1,00%;1,71%;1,04%;0,45%;0,62%;-0,60%;-0,31%;-0,32%;0,47%;0,38%;0,69%;5,93%
2021;0,27%;0,82%;0,86%;0,38%;0,96%;0,60%;1,02%;0,88%;1,20%;1,16%;0,84%;0,73%;10,16%
2020;0,19%;0,17%;0,18%;-0,23%;-0,25%;0,30%;0,44%;0,36%;0,87%;0,89%;0,95%;1,46%;5,45%
2019;0,36%;0,54%;0,77%;0,60%;0,15%;0,01%;0,10%;0,12%;-0,05%;0,04%;0,54%;1,22%;4,48%
2018;0,23%;0,18%;0,07%;0,21%;0,43%;1,43%;0,25%;0,00%;0,30%;0,40%;-0,25%;0,14%;3,43%
2017;0,42%;0,24%;0,32%;0,08%;0,36%;-0,30%;0,17%;-0,03%;-0,02%;0,37%;0,18%;0,26%;2,07%
2016;1,51%;0,95%;0,44%;0,64%;0,98%;0,47%;0,64%;0,31%;0,08%;0,17%;0,07%;0,14%;6,58%
2015;1,48%;1,16%;1,51%;0,71%;0,99%;0,77%;0,58%;0,25%;0,51%;0,77%;1,11%;0,90%;11,28%
2014;0,63%;0,64%;0,82%;0,78%;0,60%;0,26%;0,13%;0,18%;0,49%;0,38%;0,53%;0,62%;6,23%
2013;0,92%;0,52%;0,60%;0,59%;0,35%;0,28%;-0,13%;0,16%;0,27%;0,61%;0,54%;0,72%;5,56%
2012;0,51%;0,39%;0,18%;0,64%;0,55%;0,26%;0,43%;0,45%;0,63%;0,71%;0,54%;0,74%;6,20%
2011;0,94%;0,54%;0,66%;0,72%;0,57%;0,22%;0,00%;0,42%;0,45%;0,32%;0,57%;0,51%;6,08%
2010;0,88%;0,70%;0,71%;0,73%;0,43%;-0,11%;-0,07%;-0,07%;0,54%;0,92%;1,03%;0,60%;6,47%
2009;0,64%;0,31%;0,20%;0,55%;0,60%;0,42%;0,23%;0,08%;0,16%;0,24%;0,37%;0,24%;4,11%
2008;0,69%;0,48%;0,51%;0,64%;0,96%;0,91%;0,58%;0,21%;0,15%;0,50%;0,38%;0,29%;6,48%
2007;0,49%;0,42%;0,44%;0,26%;0,26%;0,31%;0,32%;0,59%;0,25%;0,30%;0,43%;0,97%;5,16%
2006;0,38%;0,23%;0,27%;0,12%;0,13%;-0,07%;0,11%;-0,02%;0,16%;0,43%;0,42%;0,62%;2,81%
2005;0,57%;0,44%;0,73%;0,91%;0,70%;-0,11%;0,03%;0,00%;0,15%;0,58%;0,54%;0,40%;5,05%
2004;0,83%;0,39%;0,57%;0,41%;0,40%;0,50%;0,73%;0,50%;0,17%;0,17%;0,44%;0,86%;6,13%
2003;2,47%;1,46%;1,37%;1,38%;0,99%;-0,06%;0,04%;0,18%;0,82%;0,39%;0,37%;0,54%;10,38%
2002;1,07%;0,31%;0,62%;0,68%;0,09%;0,61%;1,15%;0,86%;0,83%;1,57%;3,39%;2,70%;14,74%
2001;0,77%;0,49%;0,48%;0,84%;0,57%;0,60%;1,11%;0,79%;0,44%;0,94%;1,29%;0,74%;9,44%
2000;0,61%;0,05%;0,13%;0,09%;-0,05%;0,30%;1,39%;1,21%;0,43%;0,16%;0,29%;0,55%;5,27%
