Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
2024,"0,59%","0,51%","0,53%","0,60%","0,59%","0,54%","0,57%","0,57%",--,--,--
2023,"0,71%","0,58%","0,74%","0,58%","0,72%","0,68%","0,66%","0,72%","0,61%","0,61%","0,58%","0,57%"
2022,"0,56%","0,50%","0,60%","0,56%","0,67%","0,65%","0,66%","0,74%","0,68%","0,65%","0,65%","0,71%"
2021,"0,12%","0,12%","0,12%","0,16%","0,16%","0,20%","0,24%","0,24%","0,30%","0,36%","0,44%","0,49%"
2020,"0,26%","0,26%","0,24%","0,22%","0,22%","0,17%","0,13%","0,13%","0,12%","0,12%","0,12%","0,12%"
2019,"0,37%","0,37%","0,37%","0,37%","0,37%","0,37%","0,37%","0,34%","0,34%","0,32%","0,29%","0,29%"
2018,"0,40%","0,40%","0,39%","0,37%","0,37%","0,37%","0,37%","0,37%","0,37%","0,37%","0,37%","0,37%"
2017,"0,67%","0,53%","0,65%","0,50%","0,58%","0,55%","0,56%","0,55%","0,50%","0,47%","0,43%","0,43%"
2016,"0,63%","0,60%","0,72%","0,63%","0,65%","0,71%","0,66%","0,76%","0,66%","0,66%","0,64%","0,69%"
2015,"0,59%","0,52%","0,63%","0,61%","0,62%","0,68%","0,73%","0,69%","0,69%","0,68%","0,63%","0,73%"
2014,"0,61%","0,55%","0,53%","0,55%","0,56%","0,55%","0,61%","0,56%","0,59%","0,60%","0,55%","0,61%"
2013,"0,41%","0,41%","0,41%","0,41%","0,43%","0,46%","0,48%","0,48%","0,51%","0,59%","0,52%","0,55%"
2012,--,--,--,--,"0,51%","0,48%","0,50%","0,47%","0,43%","0,43%","0,41%","0,41%"
